%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1457888162325928582,1.19393193722,1.25358200073,0.0,0.0,0.0,0.0,0.0
1457888162327871933,1.19511973858,1.26078045368,0.0,0.0,0.0,0.0,0.0
1457888162329886242,1.19519400597,1.26398181915,0.0,0.0,0.0,0.0,0.0
1457888162331904155,1.19498729706,1.26547396183,0.0,0.0,0.0,0.0,0.0
1457888162333865906,1.19476366043,1.26620578766,0.0,0.0,0.0,0.0,0.0
1457888162335860033,1.19458949566,1.26658308506,0.0,0.0,0.0,0.0,0.0
1457888162337896889,1.19446873665,1.26678645611,0.0,0.0,0.0,0.0,0.0
1457888162339861121,1.19438946247,1.26690006256,0.0,0.0,0.0,0.0,0.0
1457888162341870978,1.19433891773,1.26696527004,0.0,0.0,0.0,0.0,0.0
1457888162343859703,1.19430720806,1.26700341702,0.0,0.0,0.0,0.0,0.0
1457888162345872196,1.19428765774,1.26702606678,0.0,0.0,0.0,0.0,0.0
1457888162347844451,1.19427549839,1.26703965664,0.0,0.0,0.0,0.0,0.0
1457888162349891675,1.19296371937,1.26818847656,0.0,0.0,0.0,0.0,0.0
1457888162351868489,1.19218146801,1.26892471313,0.0,0.0,0.0,0.0,0.0
1457888162353817260,1.19171130657,1.26938712597,0.0,0.0,0.0,0.0,0.0
1457888162355854378,1.19142758846,1.26967418194,0.0,0.0,0.0,0.0,0.0
1457888162357907347,1.19125580788,1.26985096931,0.0,0.0,0.0,0.0,0.0
1457888162359874635,1.19495248795,1.27484762669,0.0,0.0,0.0,0.0,0.0
1457888162361899013,1.1965110302,1.27664685249,0.0,0.0,0.0,0.0,0.0
1457888162363807190,1.19719433784,1.2772591114,0.0,0.0,0.0,0.0,0.0
1457888162365873053,1.19750797749,1.27744424343,0.0,0.0,0.0,0.0,0.0
1457888162367888824,1.19765949249,1.27748405933,0.0,0.0,0.0,0.0,0.0
1457888162369855206,1.19642806053,1.2786179781,0.0,0.0,0.0,0.0,0.0
1457888162371873764,1.19568657875,1.27933621407,0.0,0.0,0.0,0.0,0.0
1457888162373831641,1.19523751736,1.27978503704,0.0,0.0,0.0,0.0,0.0
1457888162375880094,1.19496488571,1.2800630331,0.0,0.0,0.0,0.0,0.0
1457888162377902456,1.19479894638,1.28023421764,0.0,0.0,0.0,0.0,0.0
1457888162379865094,1.19469797611,1.28033924103,0.0,0.0,0.0,0.0,0.0
1457888162381861121,1.19463634491,1.28040361404,0.0,0.0,0.0,0.0,0.0
1457888162383894789,1.19459879398,1.28044295311,0.0,0.0,0.0,0.0,0.0
1457888162385993740,1.1945759058,1.28046703339,0.0,0.0,0.0,0.0,0.0
1457888162387914358,1.19456195831,1.28048169613,0.0,0.0,0.0,0.0,0.0
1457888162389941820,1.19455349445,1.28049063683,0.0,0.0,0.0,0.0,0.0
1457888162391875609,1.19833660126,1.28539383411,0.0,0.0,0.0,0.0,0.0
1457888162393911794,1.19994962215,1.28713524342,0.0,0.0,0.0,0.0,0.0
1457888162395826775,1.20066726208,1.28771173954,0.0,0.0,0.0,0.0,0.0
1457888162397895782,1.2010024786,1.28787446022,0.0,0.0,0.0,0.0,0.0
1457888162399872448,1.20116758347,1.28790032864,0.0,0.0,0.0,0.0,0.0
1457888162401820139,1.20125317574,1.28788757324,0.0,0.0,0.0,0.0,0.0
1457888162403871216,1.20129954815,1.28786861897,0.0,0.0,0.0,0.0,0.0
1457888162405868427,1.20132565498,1.28785264492,0.0,0.0,0.0,0.0,0.0
1457888162407868641,1.20134067535,1.28784120083,0.0,0.0,0.0,0.0,0.0
1457888162409892897,1.20134961605,1.28783357143,0.0,0.0,0.0,0.0,0.0
1457888162411835882,1.19873118401,1.29009902477,0.0,0.0,0.0,0.0,0.0
1457888162413883812,1.1971578598,1.29156005383,0.0,0.0,0.0,0.0,0.0
1457888162415857631,1.19620418549,1.29248356819,0.0,0.0,0.0,0.0,0.0
1457888162417916188,1.19562399387,1.29305994511,0.0,0.0,0.0,0.0,0.0
1457888162419959324,1.19527053833,1.29341685772,0.0,0.0,0.0,0.0,0.0
1457888162421956805,1.19505500793,1.29363667965,0.0,0.0,0.0,0.0,0.0
